Method,Name,Error,Occurrences
GET,/?p=11,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/?p=11,RemoteDisconnected('Remote end closed connection without response'),3
GET,/?p=11,HTTPError('500 Server Error: Internal Server Error for url: /?p=11'),47
