Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,1265,36,7300,9542.588455148618,2.4153070044121705,30236.308839994308,41811.8418972332,10.511248739532423,0.2991343514807646,7300,11000,16000,18000,22000,24000,26000,28000,30000,30000,30000
GET,Imagem 1MB,724,5,6500,10496.633690316336,2.5500489937257953,29535.036928005866,29204.99723756906,6.015924179779822,0.04154643770566175,6500,13000,21000,22000,24000,25000,27000,27000,30000,30000,30000
GET,Imagem 300KB,1106,11,6400,10518.762938809248,1.364251998893451,29769.629013993836,29141.828209764917,9.19007202049238,0.09140216295245586,6400,14000,21000,22000,23000,25000,27000,28000,30000,30000,30000
GET,Texto 400KB,1807,11,6100,10046.830202963403,1.1230939999222755,29943.97111899889,29238.881571665745,15.014882586826158,0.09140216295245586,6100,12000,19000,21000,23000,25000,27000,28000,30000,30000,30000
,Aggregated,4902,63,6600,10089.618762674416,1.1230939999222755,30236.308839994308,32456.53182374541,40.732127526630784,0.5234851150913381,6600,12000,19000,21000,23000,25000,27000,28000,30000,30000,30000
