Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,3120,190,2100,2309.669166569868,2.202002000558423,8520.20877799987,426216.9685897436,25.96217064716574,1.5810296227440674,2100,2800,3300,3600,4800,5700,6400,6900,8100,8500,8500
GET,Imagem 1MB,2483,185,2000,2256.3656234768455,1.7785539994292776,8134.010826999656,28081.26016915022,20.661560806702735,1.5394235800402762,2000,2600,3000,3400,4600,5600,6200,6600,7200,8100,8100
GET,Imagem 300KB,3696,269,2000,2244.535819765696,1.9255440001870738,8455.340837000222,27900.60119047619,30.755186766642492,2.238405097463969,2000,2600,3000,3400,4500,5500,6400,6700,8000,8500,8500
GET,Texto 400KB,6158,452,2100,2249.718223213858,0.838162000036391,8625.909931000024,407177.480675544,51.2420021939893,3.7611862604227286,2100,2600,3000,3300,4400,5400,6300,6800,8000,8600,8600
,Aggregated,15457,1096,2100,2261.6479815744424,0.838162000036391,8625.909931000024,259432.11871643914,128.62092041450026,9.120044560671042,2100,2700,3100,3400,4600,5500,6300,6800,8000,8500,8600
