Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,2889,0,2600,4295.733877514741,140.96436299951165,24053.99824399865,43027.0,23.916658798460134,0.0,2600,3500,4200,5000,12000,19000,21000,22000,24000,24000,24000
GET,Imagem 1MB,1679,0,2400,4096.354431015483,113.12944200108177,23978.228854997724,29403.0,13.899643517692823,0.0,2400,3200,3800,4400,11000,18000,21000,21000,23000,24000,24000
GET,Imagem 300KB,2593,0,2500,4249.523025601278,114.34730000109994,23591.52966500187,29429.0,21.466215390933584,0.0,2500,3300,4000,4700,13000,18000,21000,21000,23000,24000,24000
GET,Texto 400KB,4334,0,2600,4383.086194076611,105.45379199902527,23341.12660000028,29413.0,35.879127460202916,0.0,2600,3300,4100,5000,13000,19000,21000,21000,23000,23000,23000
,Aggregated,11495,0,2600,4289.1224908505665,105.45379199902527,24053.99824399865,32836.70978686385,95.16164516728945,0.0,2600,3400,4000,4800,13000,19000,21000,21000,23000,24000,24000
