Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,2234,0,2600,2535.377224222473,182.57683399997404,6203.14097299979,453848.0,18.610788874605703,0.0,2600,3000,3200,3400,3900,4400,5300,5600,6100,6200,6200
GET,Imagem 1MB,1822,0,2500,2505.564668442368,142.93949700004305,5805.093190999742,30332.0,15.178539538733926,0.0,2500,2800,3100,3200,3600,4200,4900,5200,5700,5800,5800
GET,Imagem 300KB,2564,0,2600,2541.325272024574,121.84954399981507,6180.710595000164,30080.0,21.35992062421174,0.0,2600,2900,3100,3200,3700,4300,5100,5400,5900,6200,6200
GET,Texto 400KB,4432,0,2600,2538.6156431671975,141.182537000077,6157.277302000239,439422.0,36.9216724674362,0.0,2600,2900,3100,3200,3600,4200,5000,5300,5900,6200,6200
,Aggregated,11052,0,2600,2533.140976547488,121.84954399981507,6203.14097299979,279931.66485703946,92.07092150498757,0.0,2600,2900,3100,3200,3700,4300,5100,5400,6000,6200,6200
