Method,Name,Error,Occurrences
GET,/?p=9,"ConnectionResetError(104, 'Connection reset by peer')",4
GET,/?p=9,RemoteDisconnected('Remote end closed connection without response'),4
GET,/?p=9,HTTPError('500 Server Error: Internal Server Error for url: /?p=9'),52
