Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,1502,0,200,488.6583857137028,97.14408999934676,14318.054180002946,43027.0,12.510480681363479,0.0,200,390,650,790,1000,1200,1300,3700,12000,14000,14000
GET,Imagem 1MB,1275,0,170,359.18108573804346,82.42265100125223,1958.4315899992362,29403.0,10.61974891394037,0.0,170,300,570,710,940,1000,1200,1200,1400,2000,2000
GET,Imagem 300KB,1906,0,170,370.8015462246054,81.47577999989153,8096.589847002178,29429.0,15.875483474486545,0.0,170,300,530,670,960,1100,1200,1300,4200,8100,8100
GET,Texto 400KB,3242,0,170,358.56661074614436,81.48338099999819,7169.253724998271,29413.0,27.00331449332916,0.0,170,280,520,680,920,1000,1200,1200,4000,7200,7200
,Aggregated,7925,0,170,386.2639089969817,81.47577999989153,14318.054180002946,31995.457287066245,66.00902756311956,0.0,170,310,550,710,950,1100,1200,1300,8400,14000,14000
