Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,3107,274,2700,2234.3480750199483,1.672049000262632,5076.486128000397,413836.4316060509,25.873105416130343,2.2816964544640213,2700,3100,3400,3600,4100,4400,4600,4700,5000,5100,5100
GET,Imagem 1MB,2439,278,2800,2231.72111618492,1.7939810004463652,4781.772312000612,26890.68962689627,20.310429388458935,2.315005891755467,2800,3100,3400,3600,4000,4200,4400,4500,4700,4800,4800
GET,Imagem 300KB,3723,411,2800,2259.0441497875213,0.5931980003879289,4854.0936660001535,26775.630136986303,31.002758759012963,3.422544681696032,2800,3100,3400,3600,4000,4200,4400,4500,4700,4900,4900
GET,Texto 400KB,6251,722,2800,2315.160115373059,1.3853669997843099,4953.717549999965,388685.0521516557,52.05432312720656,6.012353431105924,2800,3100,3400,3700,4100,4300,4500,4600,4800,5000,5000
,Aggregated,15520,1685,2800,2272.408152211201,0.5931980003879289,5076.486128000397,250047.1724871134,129.2406166908088,14.031600459021446,2800,3100,3400,3600,4100,4300,4500,4600,4800,5000,5100
