Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,1501,0,290,426.23215419325425,97.1233240015863,4130.286666997563,43027.0,12.506947003655963,0.0,290,410,540,670,980,1200,1400,1400,3400,4100,4100
GET,Imagem 1MB,1334,0,240,363.40807567839755,87.743568001315,3439.372048000223,29403.0,11.11543457886546,0.0,250,340,450,590,840,1000,1200,1300,3300,3400,3400
GET,Imagem 300KB,1867,0,250,375.70725489925746,86.54886799922679,3851.898095999786,29429.0,15.556608964574071,0.0,250,340,460,570,890,1000,1200,1400,3400,3900,3900
GET,Texto 400KB,3250,0,250,387.65394084643907,88.70443400155636,4058.5076210008992,29413.0,27.08033162017447,0.0,250,350,510,620,930,1100,1300,1400,3200,4100,4100
,Aggregated,7952,0,250,388.0635801115305,86.54886799922679,4130.286666997563,31984.824195171026,66.25932216726996,0.0,250,360,500,620,910,1100,1300,1400,3300,4100,4100
