Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,1458,73,230,519.2215540314947,0.9299009980168194,4630.983967996144,40885.309327846364,12.140871439447144,0.6078762792041438,230,450,620,770,1400,1800,2400,3700,4500,4600,4600
GET,Imagem 1MB,1222,31,220,542.2124458502474,0.9469139986322261,4273.2002129996545,28664.978723404256,10.175682372431009,0.2581392418538145,230,460,660,810,1500,2000,2600,3900,4200,4300,4300
GET,Imagem 300KB,1802,56,230,520.5768863863576,0.6335989965009503,4356.812391000858,28523.201997780245,15.005384316792698,0.466316049800439,230,470,670,770,1400,1900,2300,3800,4200,4400,4400
GET,Texto 400KB,2941,86,210,526.0148318395112,0.8405800035689026,4298.966375004966,28561.38626317579,24.489919686840913,0.7161282193363885,210,450,680,810,1400,1900,2600,3700,4300,4300,4300
,Aggregated,7423,246,220,526.0269169224206,0.6335989965009503,4630.983967996144,30989.79280614307,61.811857815511765,2.048459790194786,220,460,660,790,1400,1900,2500,3700,4300,4600,4600
