Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Home,6703,1050,4500,4742.203427078786,0.5531589995371178,15897.253061004449,36315.790839922425,18.627834331860413,2.9179809113014223,4500,5000,5500,5900,9200,13000,15000,15000,16000,16000,16000
GET,Imagem 1MB,6104,685,4500,5043.988765535868,0.5873600021004677,15827.279272998567,26124.52129750983,16.963195697698936,1.9036351659442612,4500,5000,5600,6000,9900,13000,15000,15000,16000,16000,16000
GET,Imagem 300KB,9196,978,4500,5096.046391239265,0.4939110003761016,15683.781680003449,26319.48020878643,25.55595472412179,2.717890791669325,4500,5000,5500,5900,10000,14000,15000,15000,16000,16000,16000
GET,Texto 400KB,15282,1599,4500,5132.51922918641,0.46438999561360106,15746.678789997532,26355.441303494306,42.4691278919127,4.443668073496166,4500,5000,5600,6000,10000,14000,15000,15000,16000,16000,16000
,Aggregated,37285,4312,4500,5038.860090406382,0.46438999561360106,15897.253061004449,28099.413115193776,103.61611264559384,11.983174942411175,4500,5000,5500,6000,10000,13000,15000,15000,16000,16000,16000
